Host,Search Term to be pasted in query field,Searcher,WOS,Notes
Cerastium papuanum,"TI=""Cerastium papuanum"" OR AB=""Cerastium papuanum"" OR AK=""Cerastium papuanum""",Michael,0,
Silene pendula,"TI=""Silene pendula"" OR AB=""Silene pendula"" OR AK=""Silene pendula""",Michael,1,
Minuartia hirsuta,"TI=""Minuartia hirsuta"" OR AB=""Minuartia hirsuta"" OR AK=""Minuartia hirsuta""",Michael,3,
Silene miqueliana,"TI=""Silene miqueliana"" OR AB=""Silene miqueliana"" OR AK=""Silene miqueliana""",Michael,0,
Silene dubia,"TI=""Silene dubia"" OR AB=""Silene dubia"" OR AK=""Silene dubia""",Michael,0,
Arenaria montana,"TI=""Arenaria montana"" OR AB=""Arenaria montana"" OR AK=""Arenaria montana""",Michael,6,
Dianthus petraeus,"TI=""Dianthus petraeus"" OR AB=""Dianthus petraeus"" OR AK=""Dianthus petraeus""",Michael,2,
Dianthus giganteus,"TI=""Dianthus giganteus"" OR AB=""Dianthus giganteus"" OR AK=""Dianthus giganteus""",Michael,4,
Dianthus strictus,"TI=""Dianthus strictus"" OR AB=""Dianthus strictus"" OR AK=""Dianthus strictus""",Michael,1,
Silene brahuica,"TI=""Silene brahuica"" OR AB=""Silene brahuica"" OR AK=""Silene brahuica""",Michael,10,
Silene coniflora,"TI=""Silene coniflora"" OR AB=""Silene coniflora"" OR AK=""Silene coniflora""",Michael,0,
Silene bupleuroides,"TI=""Silene bupleuroides"" OR AB=""Silene bupleuroides"" OR AK=""Silene bupleuroides""",Michael,1,
Silene chlorifolia,"TI=""Silene chlorifolia"" OR AB=""Silene chlorifolia"" OR AK=""Silene chlorifolia""",Michael,2,
Moenchia mantica,"TI=""Moenchia mantica"" OR AB=""Moenchia mantica"" OR AK=""Moenchia mantica""",Michael,0,
Spergula morisonii,"TI=""Spergula morisonii"" OR AB=""Spergula morisonii"" OR AK=""Spergula morisonii""",Michael,5,
Stellaria alsine,"TI=""Stellaria alsine"" OR AB=""Stellaria alsine"" OR AK=""Stellaria alsine""",Michael,4,
Sagina nodosa,"TI=""Sagina nodosa"" OR AB=""Sagina nodosa"" OR AK=""Sagina nodosa""",Michael,6,
Herniaria glabra,"TI=""Herniaria glabra"" OR AB=""Herniaria glabra"" OR AK=""Herniaria glabra""",Michael,13,
Sagina maritima,"TI=""Sagina maritima"" OR AB=""Sagina maritima"" OR AK=""Sagina maritima""",Michael,0,
Stellaria pallida,"TI=""Stellaria pallida"" OR AB=""Stellaria pallida"" OR AK=""Stellaria pallida""",Michael,1,
